date,1. open,2. high,3. low,4. close,5. volume
2019-03-04 09:31:00,8.09,8.09,8.09,8.09,0.0
2019-03-04 09:32:00,8.09,8.09,8.09,8.09,499.0
2019-03-04 09:36:00,8.09,8.09,8.09,8.09,507.0
2019-03-04 09:38:00,8.09,8.09,8.09,8.09,100.0
2019-03-04 09:40:00,8.09,8.09,8.09,8.09,215.0
2019-03-04 09:44:00,8.09,8.09,8.09,8.09,1700.0
2019-03-04 09:45:00,8.09,8.09,8.09,8.09,1043.0
2019-03-04 09:49:00,8.09,8.09,8.09,8.09,135.0
2019-03-04 09:53:00,8.06,8.06,8.06,8.06,2180.0
2019-03-04 09:57:00,8.09,8.09,8.06,8.06,1200.0
2019-03-04 09:59:00,8.09,8.09,8.09,8.09,208.0
2019-03-04 10:04:00,8.085,8.085,8.085,8.085,213.0
2019-03-04 10:12:00,8.08,8.08,8.08,8.08,544.0
2019-03-04 10:19:00,8.04,8.04,8.04,8.04,2418.0
2019-03-04 10:23:00,8.055,8.07,8.055,8.07,1343.0
2019-03-04 10:27:00,8.09,8.09,8.09,8.09,2340.0
2019-03-04 10:31:00,8.08,8.08,8.08,8.08,669.0
2019-03-04 10:34:00,8.0675,8.0675,8.0675,8.0675,300.0
2019-03-04 10:35:00,8.06,8.06,8.06,8.06,325.0
2019-03-04 10:43:00,8.04,8.04,8.04,8.04,850.0
2019-03-04 10:45:00,8.04,8.04,8.04,8.04,100.0
2019-03-04 10:48:00,8.04,8.04,8.04,8.04,110.0
2019-03-04 10:50:00,8.045,8.045,8.045,8.045,500.0
2019-03-04 10:53:00,8.03,8.03,8.03,8.03,831.0
2019-03-04 10:57:00,8.03,8.03,8.03,8.03,201.0
2019-03-04 11:00:00,8.04,8.04,8.04,8.04,100.0
2019-03-04 11:02:00,8.03,8.03,8.03,8.03,891.0
2019-03-04 11:03:00,8.03,8.06,8.03,8.05,3533.0
2019-03-04 11:06:00,8.07,8.07,8.07,8.07,294.0
2019-03-04 11:08:00,8.07,8.07,8.07,8.07,324.0
2019-03-04 11:10:00,8.06,8.06,8.06,8.06,334.0
2019-03-04 11:12:00,8.06,8.06,8.06,8.06,4505.0
2019-03-04 11:15:00,8.08,8.08,8.08,8.08,1000.0
2019-03-04 11:17:00,8.08,8.08,8.08,8.08,109.0
2019-03-04 11:21:00,8.09,8.09,8.09,8.09,570.0
2019-03-04 11:25:00,8.07,8.07,8.07,8.07,103.0
2019-03-04 11:27:00,8.09,8.09,8.09,8.09,219.0
2019-03-04 11:35:00,8.08,8.08,8.08,8.08,882.0
2019-03-04 11:37:00,8.08,8.08,8.08,8.08,440.0
2019-03-04 11:41:00,8.08,8.08,8.08,8.08,398.0
2019-03-04 11:43:00,8.07,8.07,8.07,8.07,300.0
2019-03-04 11:44:00,8.07,8.07,8.07,8.07,200.0
2019-03-04 11:46:00,8.06,8.06,8.06,8.06,425.0
2019-03-04 11:49:00,8.07,8.07,8.07,8.07,303.0
2019-03-04 11:50:00,8.06,8.06,8.06,8.06,103.0
2019-03-04 11:52:00,8.065,8.065,8.065,8.065,1880.0
2019-03-04 11:55:00,8.065,8.065,8.065,8.065,100.0
2019-03-04 11:56:00,8.03,8.03,8.03,8.03,2421.0
2019-03-04 11:57:00,8.04,8.04,8.04,8.04,1158.0
2019-03-04 11:58:00,8.05,8.05,8.05,8.05,1900.0
2019-03-04 12:02:00,8.05,8.07,8.05,8.07,1042.0
2019-03-04 12:04:00,8.05,8.05,8.05,8.05,2003.0
2019-03-04 12:05:00,8.045,8.045,8.045,8.045,799.0
2019-03-04 12:07:00,8.05,8.05,8.05,8.05,3022.0
2019-03-04 12:08:00,8.04,8.04,8.04,8.04,700.0
2019-03-04 12:14:00,8.045,8.045,8.04,8.04,1822.0
2019-03-04 12:20:00,8.02,8.02,8.02,8.02,704.0
2019-03-04 12:21:00,8.03,8.03,8.03,8.03,508.0
2019-03-04 12:29:00,8.04,8.04,8.04,8.04,200.0
2019-03-04 12:30:00,8.05,8.05,8.05,8.05,463.0
2019-03-04 12:31:00,8.05,8.05,8.05,8.05,1203.0
2019-03-04 12:33:00,8.06,8.06,8.06,8.06,1355.0
2019-03-04 12:37:00,8.05,8.05,8.05,8.05,296.0
2019-03-04 12:43:00,8.04,8.04,8.04,8.04,1158.0
2019-03-04 12:45:00,8.04,8.04,8.04,8.04,152.0
2019-03-04 12:46:00,8.04,8.04,8.04,8.04,210.0
2019-03-04 12:49:00,8.01,8.01,8.01,8.01,211.0
2019-03-04 12:51:00,8.03,8.03,8.03,8.03,691.0
2019-03-04 12:58:00,8.01,8.01,8.01,8.01,635.0
2019-03-04 13:00:00,8.01,8.01,8.01,8.01,154.0
2019-03-04 13:07:00,7.99,7.99,7.99,7.99,425.0
2019-03-04 13:10:00,7.97,7.97,7.97,7.97,526.0
2019-03-04 13:13:00,7.97,7.97,7.97,7.97,831.0
2019-03-04 13:20:00,8.0,8.0,8.0,8.0,1031.0
2019-03-04 13:21:00,8.005,8.005,8.005,8.005,300.0
2019-03-04 13:27:00,7.99,8.01,7.99,8.01,225.0
2019-03-04 13:31:00,8.0,8.0,8.0,8.0,299.0
2019-03-04 13:33:00,8.0,8.0,8.0,8.0,101.0
2019-03-04 13:36:00,8.01,8.01,8.01,8.01,834.0
2019-03-04 13:41:00,8.01,8.01,8.01,8.01,1145.0
2019-03-04 13:45:00,8.02,8.02,8.02,8.02,302.0
2019-03-04 13:51:00,8.01,8.01,8.01,8.01,200.0
2019-03-04 13:52:00,8.01,8.01,8.01,8.01,427.0
2019-03-04 13:56:00,8.0,8.0,8.0,8.0,1071.0
2019-03-04 13:57:00,8.0,8.0,8.0,8.0,210.0
2019-03-04 14:02:00,8.0,8.0,8.0,8.0,802.0
2019-03-04 14:04:00,7.99,7.99,7.99,7.99,501.0
2019-03-04 14:06:00,8.0,8.0,8.0,8.0,1395.0
2019-03-04 14:14:00,8.01,8.01,8.01,8.01,100.0
2019-03-04 14:15:00,7.99,7.99,7.99,7.99,403.0
2019-03-04 14:19:00,8.0141,8.0141,8.0141,8.0141,2419.0
2019-03-04 14:22:00,8.03,8.03,8.0254,8.0254,2142.0
2019-03-04 14:25:00,8.03,8.03,8.03,8.03,705.0
2019-03-04 14:35:00,8.01,8.01,8.01,8.01,506.0
2019-03-04 14:36:00,8.01,8.01,8.01,8.01,217.0
2019-03-04 14:42:00,8.01,8.01,8.01,8.01,1325.0
2019-03-04 14:48:00,8.0,8.0,8.0,8.0,327.0
2019-03-04 14:50:00,8.01,8.01,8.01,8.01,494.0
2019-03-04 14:51:00,8.01,8.01,8.01,8.01,650.0
2019-03-04 14:52:00,8.03,8.03,8.03,8.03,562.0
2019-03-04 14:53:00,8.03,8.03,8.03,8.03,755.0
2019-03-04 14:55:00,8.03,8.03,8.03,8.03,601.0
2019-03-04 14:56:00,8.03,8.03,8.03,8.03,404.0
2019-03-04 14:57:00,8.03,8.03,8.03,8.03,802.0
2019-03-04 14:58:00,8.03,8.03,8.03,8.03,200.0
