date,1. open,2. high,3. low,4. close,5. volume
2019-03-04 09:31:00,5.84,5.84,5.84,5.84,0.0
2019-03-04 09:33:00,5.84,5.84,5.83,5.83,10672.0
2019-03-04 09:34:00,5.85,5.85,5.85,5.85,6997.0
2019-03-04 09:35:00,5.835,5.835,5.82,5.82,8571.0
2019-03-04 09:36:00,5.83,5.83,5.83,5.83,3427.0
2019-03-04 09:37:00,5.8453,5.8453,5.795,5.795,13741.0
2019-03-04 09:38:00,5.82,5.82,5.82,5.82,11915.0
2019-03-04 09:39:00,5.825,5.83,5.825,5.83,6077.0
2019-03-04 09:40:00,5.83,5.83,5.83,5.83,201.0
2019-03-04 09:41:00,5.82,5.82,5.82,5.82,4653.0
2019-03-04 09:42:00,5.83,5.83,5.83,5.83,3567.0
2019-03-04 09:43:00,5.82,5.82,5.82,5.82,8810.0
2019-03-04 09:44:00,5.79,5.79,5.79,5.79,4476.0
2019-03-04 09:45:00,5.8,5.8,5.8,5.8,2618.0
2019-03-04 09:46:00,5.805,5.805,5.805,5.805,5228.0
2019-03-04 09:47:00,5.7928,5.7928,5.7928,5.7928,6316.0
2019-03-04 09:48:00,5.79,5.795,5.79,5.79,5563.0
2019-03-04 09:50:00,5.79,5.79,5.79,5.79,443.0
2019-03-04 09:51:00,5.78,5.78,5.78,5.78,8529.0
2019-03-04 09:52:00,5.76,5.76,5.76,5.76,1753.0
2019-03-04 09:53:00,5.76,5.76,5.76,5.76,2792.0
2019-03-04 09:54:00,5.76,5.775,5.76,5.775,10324.0
2019-03-04 09:55:00,5.77,5.77,5.77,5.77,326.0
2019-03-04 09:56:00,5.78,5.78,5.78,5.78,6797.0
2019-03-04 09:57:00,5.785,5.785,5.785,5.785,567.0
2019-03-04 09:58:00,5.8,5.8,5.8,5.8,2272.0
2019-03-04 09:59:00,5.8,5.8,5.79,5.79,6047.0
2019-03-04 10:00:00,5.8,5.8,5.8,5.8,2819.0
2019-03-04 10:01:00,5.79,5.79,5.79,5.79,3583.0
2019-03-04 10:02:00,5.785,5.785,5.78,5.78,1933.0
2019-03-04 10:03:00,5.77,5.77,5.77,5.77,951.0
2019-03-04 10:04:00,5.77,5.78,5.77,5.78,1447.0
2019-03-04 10:05:00,5.77,5.77,5.77,5.77,1510.0
2019-03-04 10:06:00,5.77,5.77,5.77,5.77,1001.0
2019-03-04 10:07:00,5.78,5.78,5.775,5.775,3659.0
2019-03-04 10:08:00,5.77,5.77,5.765,5.765,5113.0
2019-03-04 10:09:00,5.76,5.76,5.76,5.76,2685.0
2019-03-04 10:10:00,5.755,5.755,5.75,5.75,2097.0
2019-03-04 10:11:00,5.7767,5.7767,5.7767,5.7767,5979.0
2019-03-04 10:12:00,5.77,5.77,5.77,5.77,1850.0
2019-03-04 10:13:00,5.765,5.765,5.765,5.765,1985.0
2019-03-04 10:14:00,5.78,5.78,5.78,5.78,2744.0
2019-03-04 10:15:00,5.78,5.78,5.78,5.78,5170.0
2019-03-04 10:16:00,5.775,5.775,5.775,5.775,1211.0
2019-03-04 10:17:00,5.77,5.77,5.77,5.77,202.0
2019-03-04 10:18:00,5.78,5.78,5.78,5.78,1606.0
2019-03-04 10:19:00,5.79,5.79,5.79,5.79,2539.0
2019-03-04 10:20:00,5.8,5.8,5.7975,5.7975,1674.0
2019-03-04 10:21:00,5.79,5.8,5.79,5.8,10010.0
2019-03-04 10:22:00,5.805,5.82,5.805,5.815,12100.0
2019-03-04 10:23:00,5.815,5.815,5.815,5.815,17802.0
2019-03-04 10:24:00,5.81,5.81,5.805,5.805,5286.0
2019-03-04 10:25:00,5.805,5.805,5.805,5.805,10301.0
2019-03-04 10:26:00,5.805,5.805,5.805,5.805,4150.0
2019-03-04 10:27:00,5.81,5.83,5.81,5.83,6441.0
2019-03-04 10:29:00,5.845,5.845,5.835,5.835,8462.0
2019-03-04 10:31:00,5.84,5.84,5.83,5.83,6389.0
2019-03-04 10:33:00,5.83,5.83,5.83,5.83,402.0
2019-03-04 10:34:00,5.83,5.83,5.82,5.82,11745.0
2019-03-04 10:35:00,5.815,5.815,5.815,5.815,201.0
2019-03-04 10:36:00,5.8,5.8,5.8,5.8,3125.0
2019-03-04 10:37:00,5.8,5.8,5.8,5.8,3636.0
2019-03-04 10:38:00,5.805,5.805,5.805,5.805,1090.0
2019-03-04 10:40:00,5.8,5.8,5.79,5.79,3573.0
2019-03-04 10:41:00,5.8,5.8,5.8,5.8,676.0
2019-03-04 10:42:00,5.79,5.79,5.79,5.79,202.0
2019-03-04 10:44:00,5.795,5.795,5.795,5.795,3341.0
2019-03-04 10:45:00,5.79,5.79,5.79,5.79,902.0
2019-03-04 10:46:00,5.78,5.78,5.78,5.78,5067.0
2019-03-04 10:47:00,5.78,5.78,5.78,5.78,5585.0
2019-03-04 10:48:00,5.78,5.78,5.78,5.78,1277.0
2019-03-04 10:49:00,5.77,5.78,5.77,5.78,6808.0
2019-03-04 10:50:00,5.78,5.78,5.78,5.78,5127.0
2019-03-04 10:51:00,5.7715,5.7715,5.7715,5.7715,3111.0
2019-03-04 10:52:00,5.76,5.77,5.76,5.77,9320.0
2019-03-04 10:53:00,5.775,5.775,5.775,5.775,2103.0
2019-03-04 10:54:00,5.78,5.78,5.78,5.78,903.0
2019-03-04 10:55:00,5.7701,5.78,5.7701,5.78,8835.0
2019-03-04 10:56:00,5.78,5.78,5.78,5.78,2512.0
2019-03-04 10:57:00,5.78,5.78,5.78,5.78,1789.0
2019-03-04 10:58:00,5.79,5.79,5.79,5.79,9422.0
2019-03-04 10:59:00,5.79,5.79,5.79,5.79,1702.0
2019-03-04 11:00:00,5.79,5.79,5.79,5.79,701.0
2019-03-04 11:01:00,5.79,5.8,5.79,5.8,13063.0
2019-03-04 11:02:00,5.79,5.79,5.78,5.78,9905.0
2019-03-04 11:03:00,5.77,5.77,5.77,5.77,1603.0
2019-03-04 11:05:00,5.77,5.77,5.77,5.77,3121.0
2019-03-04 11:06:00,5.77,5.77,5.77,5.77,1161.0
2019-03-04 11:07:00,5.78,5.79,5.78,5.79,13709.0
2019-03-04 11:08:00,5.78,5.81,5.78,5.81,41133.0
2019-03-04 11:09:00,5.81,5.81,5.8,5.8,5104.0
2019-03-04 11:10:00,5.795,5.795,5.795,5.795,5297.0
2019-03-04 11:11:00,5.78,5.785,5.78,5.785,7010.0
2019-03-04 11:12:00,5.795,5.795,5.79,5.79,5368.0
2019-03-04 11:13:00,5.79,5.79,5.79,5.79,3867.0
2019-03-04 11:15:00,5.79,5.8,5.79,5.8,8839.0
2019-03-04 11:16:00,5.805,5.81,5.805,5.81,2501.0
2019-03-04 11:17:00,5.805,5.805,5.8,5.8,5307.0
2019-03-04 11:18:00,5.805,5.805,5.805,5.805,1071.0
2019-03-04 11:19:00,5.81,5.81,5.81,5.81,301.0
2019-03-04 11:20:00,5.81,5.825,5.81,5.825,4737.0
2019-03-04 11:21:00,5.82,5.82,5.82,5.82,1702.0
2019-03-04 11:22:00,5.81,5.81,5.81,5.81,3558.0
2019-03-04 11:23:00,5.8,5.8,5.8,5.8,2351.0
2019-03-04 11:24:00,5.8,5.8,5.8,5.8,3133.0
2019-03-04 11:25:00,5.8,5.8,5.8,5.8,17188.0
2019-03-04 11:26:00,5.805,5.82,5.805,5.82,14780.0
2019-03-04 11:27:00,5.84,5.84,5.82,5.82,19658.0
2019-03-04 11:28:00,5.83,5.84,5.83,5.84,4967.0
2019-03-04 11:29:00,5.825,5.825,5.825,5.825,3403.0
2019-03-04 11:30:00,5.84,5.845,5.84,5.845,8176.0
2019-03-04 11:31:00,5.84,5.84,5.84,5.84,2404.0
2019-03-04 11:33:00,5.85,5.85,5.85,5.85,203.0
2019-03-04 11:34:00,5.8449,5.8449,5.8449,5.8449,314.0
2019-03-04 11:35:00,5.845,5.845,5.845,5.845,786.0
2019-03-04 11:36:00,5.845,5.885,5.845,5.88,40809.0
2019-03-04 11:37:00,5.87,5.88,5.87,5.88,15301.0
2019-03-04 11:39:00,5.88,5.9,5.88,5.9,9445.0
2019-03-04 11:40:00,5.9,5.9,5.9,5.9,6134.0
2019-03-04 11:41:00,5.8999,5.8999,5.89,5.89,4351.0
2019-03-04 11:42:00,5.89,5.89,5.88,5.88,5014.0
2019-03-04 11:43:00,5.88,5.88,5.88,5.88,3604.0
2019-03-04 11:44:00,5.87,5.88,5.87,5.88,1102.0
2019-03-04 11:45:00,5.875,5.875,5.875,5.875,481.0
2019-03-04 11:46:00,5.87,5.87,5.87,5.87,2592.0
2019-03-04 11:47:00,5.87,5.87,5.87,5.87,500.0
2019-03-04 11:48:00,5.87,5.87,5.87,5.87,3317.0
2019-03-04 11:50:00,5.86,5.86,5.86,5.86,1243.0
2019-03-04 11:51:00,5.86,5.86,5.86,5.86,2055.0
2019-03-04 11:52:00,5.855,5.88,5.855,5.88,6902.0
2019-03-04 11:53:00,5.87,5.87,5.87,5.87,2702.0
2019-03-04 11:55:00,5.88,5.88,5.88,5.88,5100.0
2019-03-04 11:56:00,5.88,5.88,5.875,5.875,6347.0
2019-03-04 11:57:00,5.88,5.88,5.88,5.88,100.0
2019-03-04 11:59:00,5.88,5.88,5.88,5.88,1401.0
2019-03-04 12:00:00,5.87,5.87,5.87,5.87,605.0
2019-03-04 12:01:00,5.875,5.875,5.875,5.875,2120.0
2019-03-04 12:02:00,5.87,5.87,5.87,5.87,9242.0
2019-03-04 12:04:00,5.8798,5.88,5.8798,5.88,11814.0
2019-03-04 12:05:00,5.885,5.885,5.885,5.885,1500.0
2019-03-04 12:06:00,5.885,5.885,5.885,5.885,956.0
2019-03-04 12:07:00,5.88,5.88,5.875,5.875,7044.0
2019-03-04 12:08:00,5.8735,5.8735,5.8735,5.8735,529.0
2019-03-04 12:11:00,5.87,5.87,5.86,5.86,10736.0
2019-03-04 12:13:00,5.85,5.85,5.85,5.85,2207.0
2019-03-04 12:14:00,5.85,5.85,5.83,5.83,3404.0
2019-03-04 12:15:00,5.83,5.83,5.83,5.83,2206.0
2019-03-04 12:16:00,5.83,5.835,5.83,5.83,1746.0
2019-03-04 12:17:00,5.835,5.835,5.83,5.83,1201.0
2019-03-04 12:18:00,5.83,5.83,5.83,5.83,2721.0
2019-03-04 12:19:00,5.83,5.83,5.82,5.82,12905.0
2019-03-04 12:20:00,5.82,5.82,5.82,5.82,601.0
2019-03-04 12:21:00,5.825,5.825,5.825,5.825,100.0
2019-03-04 12:22:00,5.82,5.82,5.82,5.82,702.0
2019-03-04 12:24:00,5.82,5.8299,5.82,5.8299,904.0
2019-03-04 12:25:00,5.82,5.82,5.82,5.82,1601.0
2019-03-04 12:26:00,5.82,5.84,5.82,5.84,5200.0
2019-03-04 12:27:00,5.84,5.84,5.835,5.835,6272.0
2019-03-04 12:28:00,5.84,5.86,5.84,5.86,5238.0
2019-03-04 12:29:00,5.86,5.86,5.86,5.86,11990.0
2019-03-04 12:30:00,5.86,5.86,5.855,5.855,3707.0
2019-03-04 12:33:00,5.86,5.86,5.86,5.86,2275.0
2019-03-04 12:34:00,5.87,5.87,5.87,5.87,3287.0
2019-03-04 12:35:00,5.87,5.87,5.87,5.87,1968.0
2019-03-04 12:36:00,5.88,5.88,5.88,5.88,301.0
2019-03-04 12:37:00,5.87,5.87,5.86,5.86,5127.0
2019-03-04 12:38:00,5.86,5.86,5.86,5.86,500.0
2019-03-04 12:39:00,5.855,5.855,5.85,5.85,1203.0
2019-03-04 12:40:00,5.855,5.855,5.855,5.855,300.0
2019-03-04 12:41:00,5.85,5.85,5.85,5.85,1302.0
2019-03-04 12:42:00,5.84,5.84,5.84,5.84,1820.0
2019-03-04 12:43:00,5.86,5.86,5.86,5.86,10633.0
2019-03-04 12:44:00,5.855,5.855,5.855,5.855,3502.0
2019-03-04 12:46:00,5.855,5.855,5.855,5.855,252.0
2019-03-04 12:47:00,5.85,5.85,5.85,5.85,2548.0
2019-03-04 12:48:00,5.855,5.855,5.85,5.85,2501.0
2019-03-04 12:50:00,5.85,5.85,5.85,5.85,1092.0
2019-03-04 12:51:00,5.855,5.855,5.855,5.855,302.0
2019-03-04 12:52:00,5.855,5.855,5.855,5.855,601.0
2019-03-04 12:53:00,5.85,5.85,5.85,5.85,3582.0
2019-03-04 12:54:00,5.84,5.84,5.84,5.84,2417.0
