12:45|GLG|PD|TUFN|FRSH|DTSS|PHUN|EVFM|UONE|IMRN|HJLI|ACER|WTER|CLBS|JG|PHAS|BFC|PXLW|STNG|CREX|TIGR|Cayman|EVH|ARA|AUTL|JDST|VHI|SOLY|ZYNE|GSUM|EDAP|KOSS|YRCW|STML|CHAP|FFHL|GRNQ|AIRG|CUBI|EHTH|CFMS|DSLV|DSSI|GASX|LABD|DUST|BTN|DRIP|SNDX|DOMO|YRD|HLG|YANG|ENOB|RLGT|TST|BZQ|ASC|ASTC|VUZI|CDTX|TTOO|DYNT|FAST|RUSS|DWT|CTO|NEW|PTNR|MTC|CEL|OIBRC|ABEO|EMKR|HBB|OILD|KLDO|VRCA|USOD|RYAAY|YETI|CZR|ZBIO|BPTH|VISI|EDZ|PAR|TROX|DOVA|VHC|TW|ATOM|PGNX|ASMB|CAMT|WTID|SSRM|DGAZ|RBB|DGLD|HA|
12:50|GLG|PD|TUFN|FRSH|DTSS|PHUN|EVFM|UONE|IMRN|HJLI|ACER|WTER|CLBS|JG|PHAS|BFC|PXLW|STNG|CREX|TIGR|Cayman|EVH|ARA|AUTL|JDST|VHI|SOLY|ZYNE|GSUM|EDAP|KOSS|YRCW|STML|CHAP|FFHL|GRNQ|AIRG|CUBI|EHTH|CFMS|DSLV|DSSI|GASX|LABD|DUST|BTN|DRIP|SNDX|DOMO|YRD|HLG|YANG|ENOB|RLGT|TST|BZQ|ASC|ASTC|VUZI|CDTX|TTOO|DYNT|FAST|RUSS|DWT|CTO|NEW|PTNR|MTC|CEL|OIBRC|ABEO|EMKR|HBB|OILD|KLDO|VRCA|USOD|RYAAY|YETI|CZR|ZBIO|BPTH|VISI|EDZ|PAR|TROX|DOVA|VHC|TW|ATOM|PGNX|ASMB|CAMT|WTID|SSRM|DGAZ|RBB|DGLD|HA|
12:55|GLG|PD|TUFN|FRSH|DTSS|PHUN|EVFM|UONE|ACER|IMRN|ARA|HJLI|WTER|Cayman|PHAS|JG|BFC|EVH|PXLW|STNG|TIGR|CREX|IEA|CLBS|CHAP|AUTL|BPTH|GSUM|JDST|ASC|ZYNE|AIRG|VHI|EDAP|YRCW|DRIP|KOSS|SOLY|LABD|STML|RLGT|DSSI|CUBI|GASX|ASMB|GRNQ|DSLV|DOMO|EHTH|OILD|DWT|BTN|YRD|HLG|BMRA|YANG|ENOB|WTID|RUSS|ASTC|YETI|TW|BZQ|OIBRC|ATOM|DYNT|NEW|FAST|PTNR|TMDI|TST|MTC|CEL|DUST|ZBIO|RYAAY|CTO|CPRX|CDTX|VRCA|HBB|EVGN|USOD|KLDO|CAMT|EMKR|ABEO|EDZ|TROX|PGNX|CZR|DOVA|HLNE|PAR|NNA|CFMS|PS|VISI|VSLR|SSRM|
13:00|GLG|PD|TUFN|FRSH|DTSS|PHUN|EVFM|UONE|ACER|IMRN|ARA|HJLI|WTER|Cayman|PHAS|JG|BFC|EVH|PXLW|STNG|TIGR|CREX|IEA|CLBS|CHAP|AUTL|BPTH|GSUM|JDST|ASC|ZYNE|AIRG|VHI|EDAP|YRCW|DRIP|KOSS|SOLY|LABD|STML|RLGT|DSSI|CUBI|GASX|ASMB|GRNQ|DSLV|DOMO|EHTH|OILD|DWT|BTN|YRD|HLG|BMRA|YANG|ENOB|WTID|RUSS|ASTC|YETI|TW|BZQ|OIBRC|ATOM|DYNT|NEW|FAST|PTNR|TMDI|TST|MTC|CEL|DUST|ZBIO|RYAAY|CTO|CPRX|CDTX|VRCA|HBB|EVGN|USOD|KLDO|CAMT|EMKR|ABEO|EDZ|TROX|PGNX|CZR|DOVA|HLNE|PAR|NNA|CFMS|PS|VISI|VSLR|SSRM|
13:05|GLG|PD|TUFN|FRSH|DTSS|PHUN|EVFM|UONE|ACER|IMRN|ARA|HJLI|WTER|Cayman|PHAS|JG|BFC|EVH|PXLW|STNG|TIGR|CREX|IEA|CLBS|CHAP|AUTL|BPTH|GSUM|JDST|ASC|ZYNE|AIRG|VHI|EDAP|YRCW|DRIP|KOSS|SOLY|LABD|STML|RLGT|DSSI|CUBI|GASX|ASMB|GRNQ|DSLV|DOMO|EHTH|OILD|DWT|BTN|YRD|HLG|BMRA|YANG|ENOB|WTID|RUSS|ASTC|YETI|TW|BZQ|OIBRC|ATOM|DYNT|NEW|FAST|PTNR|TMDI|TST|MTC|CEL|DUST|ZBIO|RYAAY|CTO|CPRX|CDTX|VRCA|HBB|EVGN|USOD|KLDO|CAMT|EMKR|ABEO|EDZ|TROX|PGNX|CZR|DOVA|HLNE|PAR|NNA|CFMS|PS|VISI|VSLR|SSRM|
13:10|GLG|PD|TUFN|FRSH|DTSS|PHUN|EVFM|UONE|ACER|IMRN|ARA|HJLI|WTER|Cayman|PHAS|JG|BFC|EVH|PXLW|STNG|TIGR|CREX|IEA|CLBS|CHAP|AUTL|BPTH|GSUM|JDST|ASC|ZYNE|AIRG|VHI|EDAP|YRCW|DRIP|KOSS|SOLY|LABD|STML|RLGT|DSSI|CUBI|GASX|ASMB|GRNQ|DSLV|DOMO|EHTH|OILD|DWT|BTN|YRD|HLG|BMRA|YANG|ENOB|WTID|RUSS|ASTC|YETI|TW|BZQ|OIBRC|ATOM|DYNT|NEW|FAST|PTNR|TMDI|TST|MTC|CEL|DUST|ZBIO|RYAAY|CTO|CPRX|CDTX|VRCA|HBB|EVGN|USOD|KLDO|CAMT|EMKR|ABEO|EDZ|TROX|PGNX|CZR|DOVA|HLNE|PAR|NNA|CFMS|PS|VISI|VSLR|SSRM|
13:15|GLG|PD|TUFN|FRSH|PHUN|DTSS|EVFM|UONE|ARA|ACER|IMRN|HJLI|WTER|Cayman|PHAS|JG|PXLW|BFC|STNG|TIGR|GSUM|EVH|YRCW|STRO|IEA|ZYNE|AUTL|YRD|ASC|CLBS|AIRG|JDST|SOLY|CHAP|VHI|DSSI|EDAP|ASMB|KOSS|DOMO|DRIP|CUBI|IMAC|EHTH|GRNQ|LABD|DTO|RLGT|DSLV|STML|BTN|NNA|GASX|HLG|ENOB|SSLJ|TW|CFMS|WTID|DOVA|ASTC|BPTH|YANG|CZR|PGNX|DWT|YETI|OIBRC|ATOM|DYNT|OILD|RUSS|PTNR|CDTX|ABEO|CREX|CTO|USOD|MTC|CEL|AMAL|VRCA|RYAAY|NEW|FAST|ZBIO|TROX|DUST|HBB|ACU|EVGN|PPDF|PS|BZQ|SNDX|RBB|KLDO|PAR|VSLR|HLNE|
13:20|GLG|PD|TUFN|FRSH|PHUN|DTSS|EVFM|UONE|ARA|ACER|IMRN|HJLI|WTER|Cayman|PHAS|JG|PXLW|BFC|STNG|TIGR|GSUM|EVH|YRCW|STRO|IEA|ZYNE|AUTL|YRD|ASC|CLBS|AIRG|JDST|SOLY|CHAP|VHI|DSSI|EDAP|ASMB|KOSS|DOMO|DRIP|CUBI|IMAC|EHTH|GRNQ|LABD|DTO|RLGT|DSLV|STML|BTN|NNA|GASX|HLG|ENOB|SSLJ|TW|CFMS|WTID|DOVA|ASTC|BPTH|YANG|CZR|PGNX|DWT|YETI|OIBRC|ATOM|DYNT|OILD|RUSS|PTNR|CDTX|ABEO|CREX|CTO|USOD|MTC|CEL|AMAL|VRCA|RYAAY|NEW|FAST|ZBIO|TROX|DUST|HBB|ACU|EVGN|PPDF|PS|BZQ|SNDX|RBB|KLDO|PAR|VSLR|HLNE|
13:25|PD|GLG|TUFN|FRSH|PHUN|DTSS|EVFM|UONE|ACER|IMRN|ARA|JG|PXLW|STNG|BFC|WTER|YRCW|GSUM|EVH|TIGR|Cayman|AIRG|DSSI|BTN|AUTL|HJLI|ASC|CLBS|PHAS|DOMO|VHI|JDST|CREX|YRD|CFMS|CUBI|RLGT|CHAP|KOSS|DSLV|DTO|EHTH|SOLY|HBB|STML|GRNQ|ASMB|ZYNE|USOD|LTS|NNA|LABD|YETI|SSLJ|GASX|CDTX|EDAP|HLG|PPDF|PGNX|SNDX|DRIP|RUSS|VSLR|RBB|TMDI|YANG|FAST|OIBRC|DYNT|DUST|DWT|OPTN|PAR|CZR|RBZ|WTID|PS|OILD|CTO|RYAAY|TW|MTC|ZBIO|BZQ|CVGI|CAMT|TROX|DLA|HLNE|EVGN|EMKR|SAIA|DOVA|VRCA|GDDY|HYRE|CDNA|CLNE|BMRA|
13:30|PD|GLG|TUFN|FRSH|PHUN|DTSS|EVFM|UONE|ACER|IMRN|ARA|JG|PXLW|STNG|BFC|WTER|YRCW|GSUM|EVH|TIGR|Cayman|AIRG|DSSI|BTN|AUTL|HJLI|ASC|CLBS|PHAS|DOMO|VHI|JDST|CREX|YRD|CFMS|CUBI|RLGT|CHAP|KOSS|DSLV|DTO|EHTH|SOLY|HBB|STML|GRNQ|ASMB|ZYNE|USOD|LTS|NNA|LABD|YETI|SSLJ|GASX|CDTX|EDAP|HLG|PPDF|PGNX|SNDX|DRIP|RUSS|VSLR|RBB|TMDI|YANG|FAST|OIBRC|DYNT|DUST|DWT|OPTN|PAR|CZR|RBZ|WTID|PS|OILD|CTO|RYAAY|TW|MTC|ZBIO|BZQ|CVGI|CAMT|TROX|DLA|HLNE|EVGN|EMKR|SAIA|DOVA|VRCA|GDDY|HYRE|CDNA|CLNE|BMRA|
